name,heightCM,weightKG,bustCM,waistCM,hipsCM,hair,breasts,ethnicity,born,month,year,mateAge,first,avgDist
Jenny Watwood,170,54,84,58,89,2,0,0,659088000000,2,2018,27,,0.300
Nereyda Bird,175,54,81,61,91,1,0,1,892882800000,3,2018,19,,0.994
Shauna Sexton,173,59,86,66,91,2,0,0,822124800000,4,2018,22,,0.233
Cassandra Dawn,165,48,81,58,81,2,0,0,631958400000,5,2018,28,,0.440
Valeria Lakhina,168,51,86,58,86,3,0,0,622710000000,6,2018,28,,0.509
Lorena Medina,168,51,81,58,86,2,0,3,695721600000,7,2018,26,,0.923
Kirby Griffin,170,53,86,61,89,1,0,1,690105600000,8,2018,26,,0.951
Olga de Mar,173,54,86,58,89,2,0,0,681980400000,9,2018,27,,0.294
Shelby Rose,174,55,81,61,81,2,0,0,838278000000,10,2018,22,,0.337
Jordan Emanuel,165,51,81,66,86,1,0,1,777106800000,11,2018,24,,0.980
Vendela Lindblom,168,52,84,64,91,2,0,0,816076800000,0,2019,23,,0.191
Megan Moore,178,63,89,69,99,0,0,0,791539200000,1,2019,24,,0.435
Miki Hamano,170,54,86,64,89,1,0,2,730972800000,2,2019,26,,0.933
Fo Porter,178,58,91,79,114,1,0,0,655455600000,3,2019,28,,0.847
Abigail O'Neill,168,53,81,64,89,2,0,0,863679600000,4,2019,21,,0.281
Yoli Lara,173,55,86,64,89,2,0,3,874220400000,5,2019,21,,0.883
Teela LaRoux,178,59,81,61,86,1,0,0,607075200000,6,2019,30,,0.617
Geena Rocero,161,48,81,61,86,1,1,2,435826800000,7,2019,35,,1.360
Sophie O'Neil,165,49,81,66,89,3,0,0,837414000000,8,2019,23,,0.502
Hilda Dias Pimentel,175,55,81,61,91,1,0,3,700041600000,9,2019,27,,0.990
Gillian Chan,178,59,86,76,109,2,0,1,767862000000,10,2019,25,,1.097
Jordy Murray,174,55,86,64,91,2,0,0,738572400000,11,2019,26,,0.282
Riley Ticotin,175,62,99,74,114,1,0,0,755942400000,0,2020,26,,0.819
Chasity Samone,175,57,86,66,89,1,0,1,671011200000,1,2020,28,,1.004
Anita Pathammavong,180,59,86,71,99,1,0,2,816076800000,2,2020,24,,1.023
Marsha Elle,168,65,94,76,107,1,0,1,679820400000,3,2020,28,First amputee Playmate.,1.140
Savannah Smith,170,61,86,64,89,3,0,0,963903600000,4,2020,19,,0.471
Alicia Olivas,170,76,89,71,112,1,0,0,865321200000,5,2020,22,,0.717
Priscilla Huggins,180,58,91,66,104,1,0,0,751618800000,6,2020,26,First digital only Playmate.,0.586
Ali Chanel,174,104,109,89,117,0,0,0,645606000000,7,2020,30,,1.440
Danielle Alcaraz,173,57,84,61,86,1,0,3,637833600000,8,2020,30,,1.014
Carolina Ballesteros,177,54,81,61,91,1,0,0,626515200000,9,2020,30,,0.600
Khrystyana Kazakova,178,75,94,69,102,0,0,0,485506800000,10,2020,35,,0.884
Tanerelle Stephens,183,60,94,66,94,1,0,1,765874800000,11,2020,26,,1.058
