"loc","loc_lat","loc_lng","count"
Barrackpore Air Base (   India),"22.77472","88.36942",5
"Winnipeg-James Armstrong Richardson International Airport, MB (YWG) (   Canada)","49.94344",-97.15251,5
Istanbul (   Turkey),"41.06071","28.98772",5
Tashkent Airport (TAS) (   Uzbekistan),"41.32076","69.30639",5
Coventry-Baginton Airport (CVT) (   United Kingdom),"52.37211",-1.49331,5
near Myitkyina (   Myanmar),"25.38849","97.37494",5
Port Moresby-Seven Mile Aerodrome (POM) (   Papua New Guinea),-9.45507,"147.20382",5
Ashiya Air Base (   Japan),"33.88244","130.66741",5
"Charlotte-Douglas International Airport, NC (CLT) (   United States of America)","35.2315",-80.93388,5
"Carlsbad-McClellan-Palomar Airport, CA (CLD) (   United States of America)","33.12565",-117.27566,5
"New York, NY (   United States of America)","40.71455",-74.00714,5
Makhachkala Airport (MCX) (   Russia),"42.98267","47.47154",5
Harare Airport (HRE) (   Zimbabwe),-17.90291,"31.09068",5
Luxor Airport (LXR) (   Egypt),"25.67779","32.69807",5
"Puerto Nuevo, BA (   Argentina)",-27.48925,-55.10493,5
Baghdad (   Iraq),"33.34213","44.39309",5
Manila-Nichols Air Base (MNL) (   Philippines),"14.58865","120.98454",5
"Oklahoma City-Tinker AFB, OK (TIK) (   United States of America)","35.41827",-97.41813,5
Kathmandu-Tribhuvan Airport (KTM) (   Nepal),"27.6893","85.22426",5
"Yellowknife Airport, NT (YZF) (   Canada)","62.46725",-114.4158,5
Misamari (   India),"26.13706","93.95786",5
Khe Sanh (   Vietnam),"16.62013","106.7313",5
Yogyakarta-Adisutjipto Airport (JOG) (   Indonesia),-7.80372,"110.37481",5
Montevideo-Carrasco Airport (MVD) (   Uruguay),-34.88268,-56.05753,5
Sverdlovsk-Koltsovo Airport (SVX) (   Russia),"56.76081","60.82184",5
Luxembourg-Findel Airport (LUX) (   Luxembourg),"49.63268","6.21001",5
Membury USAAF Station 466 (   United Kingdom),"51.46973",-1.56293,5
Fuzhou Airport (FOC) (   China),"26.07877","119.29689",5
Banjarmasin-Sjamsudin Noor Airport (BDJ) (   Indonesia),-3.32879,"114.5915",5
Wien-Schwechat Airport (VIE) (   Austria),"48.20944","16.38407",5
Arkhangelsk Airport (ARH) (   Russia),"64.5384","40.51492",5
Tunis-Carthage Airport (TUN) (   Tunisia),"36.85618","10.32451",5
Fuzhou Yixu Airport (FOC) (   China),"26.07877","119.29689",5
"Pensacola Bay, FL (   United States of America)","30.42146",-87.18429,5
Managua-Augusto C. Sandino Airport (MGA) (   Nicaragua),"12.1172",-86.24079,5
"Wichita-Mid-Continent Airport, KS (ICT) (   United States of America)","37.6659",-97.42129,5
Hamburg-Fuhlsbüttel Airport (HAM) (   Germany),"53.63456","10.01628",5
Budapest-Ferihegy Airport (BUD) (   Hungary),"47.44469","19.21315",5
Tbilisi Airport (TBS) (   Georgia),"41.70907","44.79611",5
"Lexington-Blue Grass Airport, KY (LEX) (   United States of America)","38.0605",-84.472,5
Santiago-Antonio Maceo Airport (SCU) (   Cuba),"23.08716",-82.38451,5
"Lawrenceville-George AAF, IL (LWV) (   United States of America)","38.72344",-87.69508,5
Tel Aviv-Ben Gurion International Airport (TLV) (   Israel),"31.65996","34.56423",5
"Kendall-Tamiami Airport, FL (TMB) (   United States of America)","25.64686",-80.33285,5
Tel Aviv-Lod International Airport (TLV) (   Israel),"32.08557","34.78954",5
San Juan (   Puerto Rico),"18.38475",-66.05481,5
"Newark-Liberty International Airport, NJ (EWR) (   United States of America)","40.73085",-74.1689,5
Jorhat (   India),"26.76748","94.20675",5
"Tacoma-McChord AFB, WA (TCM) (   United States of America)","47.17003",-122.48369,5
Blida (   Algeria),"36.47242","2.8324",5
Noril'sk Airport (NSK) (   Russia),"69.34575","88.21482",5
Jeddah-King Abdulaziz International Airport (JED) (   Saudi Arabia),"21.49198","39.25158",5
"Houston-Intercontinental Airport, TX (IAH) (   United States of America)","29.93781",-95.35282,5
"Chicago Municipal Airport, IL (MDW) (   United States of America)","41.51229",-87.65179,5
Donetsk Airport (DOK) (   Ukraine),"48.00203","37.81449",5
Fukuoka Airport (FUK) (   Japan),"33.58326","130.38365",5
Lanseria Airport (HLA) (   South Africa),-25.95093,"27.91814",5
Normandy (   France),"49.44014","1.08941",5
"San Antonio International Airport, TX (SAT) (   United States of America)","29.52451",-98.47522,5
Huambo Airport (NOV) (   Angola),-12.7739,"15.73319",5
